zhetvariat_01_yovkov_0000|ЖЕТВАРЕТ ГЛАВА ПЪРВА
zhetvariat_01_yovkov_0001|Записът е направен за библиотека LibriVox. Всички записи на LibriVox са обществено достояние. За повече информация или за да помогнете, посетете LibriVox.org.
zhetvariat_01_yovkov_0002|ЖЕТВАРИЯТ ПОВЕСТ ОТ ЮРДАН ЙОВКОВ Глава 1
zhetvariat_01_yovkov_0003|Вечерта на Димитров ден в кръчмата на Къня беше се струпал много свят. Имаше мнозина от ония, които си идеха всеки ден, като Гроздан, Тачката, Йордан Ковачет и други, но сега бяха надошли и всички слуги, колкото и каквито ги имаше в Люляково. В Добруджа Димитров ден е празник на слугите, на горбечиите.
zhetvariat_01_yovkov_0004|Днес те навършваха времето, за което се бяха условили, кой цяла година, като се смята от минало годишния Димитров ден, кой 6 месеца, смятано от Гергев ден.
zhetvariat_01_yovkov_0005|След два-три дните всички ще аха отново да се представят или при същите си господари, или при други, а до тогаз по обичае си пиеха и се веселяха.
zhetvariat_01_yovkov_0006|Повечето от тях бяха овчари. Все едри мъже те носиха бузяви и амурлуци и пискиоли и чанти. Препасани бяха с кожени селехлъци, в който имаше големи и малки ножове, кеси астютюни прахан, огниво револвер, разни древни инструменти с който си служиха при лекуването на овцете и най-после, нещо, което никога не липсваше – кавал.
zhetvariat_01_yovkov_0007|Близо до тях бяха изправени дългите им дрянови кривации, подковани отдолу с желязо, с гега отгоре, изпъстрени с черти и резки. Тие древни писмена, за които говори чърноризец Храбр.
zhetvariat_01_yovkov_0008|В кръчмата освен тях имаше още и десетина прости чевчийски слуги, няколко падари и поляци. Те нямаха никакви трофила върху си и нищо друго не носеха, освен някоя мучуга, къса стопка на краето яга, опасно уражие в такива едни яки и силни ръце.
zhetvariat_01_yovkov_0009|Всички бяха се поприготвили за празника. Между вехтите и окъсани дрехи можеше да се види туктаме и някоя нова салтамарка или нови потури. Изпранните рези показваха бели като снякияки, издърпани навън повече отколкото трябва или на сила застегнати.
zhetvariat_01_yovkov_0010|Брасначите ножиците също бяха постъкмили рошевите глави, без да успеят да ги променят твърде много. Лицата си оставаха всета и загорели от слънцето, и спечени, зачервени като тухла. Ръцете бяха груби, напукани и хванали слин.
zhetvariat_01_yovkov_0011|Тежкият труд беше вечна учеснатия хора. Цяла година те бяха вървели подир стадата или подир плуговете, работили бяха без спири, без почивка, покорни и мълчеливи под натиска и прещевките на господарската воля.
zhetvariat_01_yovkov_0012|И ето, днес те можеха да седнат наред с всички, да се почувстват свободни и независими. Тая нова и тъй рядка радост за тях раздрусваше издън от цялото им същество. Те пиеха, викаха, лудуваха, веселяха се със същата тая сила, корава и неистуштима, която бликаше и в работата им.
zhetvariat_01_yovkov_0013|Юнашка и буйна беше тая веселба. Всичко имаше в нея. И тържеството на затворници, и струшили оковите си, и лудориите на деца, и добродушната сърдечност на прости и незлобиви хора. Но имаше и нещо опасно. Понякога в тия примитивни души избиваше болката на униженията, на вечното тегло, на обидите, понасени през цял живот от хората и от съдбата. Тога с лицата се изкривяваха от ярост, очите се наливаха с кръв,
zhetvariat_01_yovkov_0014|Глъчка и шум пълниха кръчмата. Все пак, колкото и да беше голямо бъркотията, виждаше се, че има едно място, където се събираше общото внимание, откъдето веселбата вземаше насока и тон.
zhetvariat_01_yovkov_0015|Това място беше масата на Груздана. Освен него, там бяха и другарите му, тачката, юрданковачите, Симеон Каменарият, наричан обикновено Монката. Един руси бледолик момък също седеше там, наметнат с дълга черна пелерина из каскет, едничкото гражданско облекло, което още по-силно биеше в очи сред това море от овчи калпаци и мурлуци и космати кожуси. Той е момък беше учителят Радулов. Облъкатен на масата, усмихнат,
zhetvariat_01_yovkov_0016|Нов човек в компанията беше Лазър Чомакът. Из полинският ръст, козените на колените си и обърнатият кожух предаваха нещо диво и звероподобно на той овчар.
zhetvariat_01_yovkov_0017|Ризата му беше разкопчана отпред и рунтевите му гради не искаха и да знаят за студа.
zhetvariat_01_yovkov_0018|Напреки през лицето му, също като обрача на лък, се извиваха грамадни жълти мустаци и стигаха чак до ушите му. Но от Чумака страшна беше само външността му. Инак, той си беше мек, добър човек и под надвисналите му вежди, избелелите от слънцето, като мустаците му, добродушно и благо се усмихваха очите му. Също те и сини, те и лъчисти, каквото и небето. Той е единствен покрив, под който Чумакът беше прекарал по-голямата част от живота си.
zhetvariat_01_yovkov_0019|Както се виждаше, той беше не само гостенин, но и всичко плащаше, защото на масата го обкръжаваха с най-голямо внимание и всякак гледаха да му огодят.
zhetvariat_01_yovkov_0020|Тачката, ниско и сухо човече, подвижно и пъргаво като акробат, правеше най-разнообразни фокуси. Мърдаше ушите си, мърдаше мускулите на челото си, тъй че малкото му като гаванга кълпаче подскачеше. Или пък започваше да удряз две шепи по коляното си и се чуваше също такъв звън, като кога някой раздрънквайки си я спари.
zhetvariat_01_yovkov_0021|– Пари ли искаш? – говореше тачката. – Ей ги, имам ги.
zhetvariat_01_yovkov_0022|и удръши по коленото си.
zhetvariat_01_yovkov_0023|Веднага след той, той позакриваше устата си с ръка, изхривяваше шията си и започваше да вие също като вълк.
zhetvariat_01_yovkov_0024|Отблизо запознат с тая музика, Чомакът друсаше из Полинските си гради и от все сърце се смееше.
zhetvariat_01_yovkov_0025|И ковачът не стояше мирен, но у него нямаше лукавства и задни мисли. Той обичаше да пие, обичаше всеки го, който сядаше на една маса с него. Сега прегръщаше тачката, прегръщаше чумака, монката, който му се попаднаше.
zhetvariat_01_yovkov_0026|И когато не намираше вече кого, оставаше си Тъй с разкрите обятия, готов всякъж да пригърне целият свят.
zhetvariat_01_yovkov_0027|и лицето му и ръцете му бяха черни като на арапин от Кюмюря, зато и всички се пазеха от него и не съвсем любезно отблъскваха миловките му. Но Кувачът не се сърдеше и то с час прощаваше всичко.
zhetvariat_01_yovkov_0028|По едно време той се измъкна от мястото си, излезе сред кръчмата, закрепи се кое как на краката си и с голямо въодушевление, повече с жестове и мимика, отколкото с глас, той беше прегракнал вече от пиене. Запя.
zhetvariat_01_yovkov_0029|Ние сме, брати пионери, от Росчука приишли. Железница построили от Янбола до Бургас.
zhetvariat_01_yovkov_0030|И децата в Люляково знаеха тая песен на Йордана и нейният чудноват език, ни руски, ни български. Нещо повече от първия куплет той не прибавеше, защото може би и не знаеше, но него той си го повтаряше без край, без да му омразне.
zhetvariat_01_yovkov_0031|Тя беше улюбимата му песен и в нея бяха най-хубавите му спомени, защото като млад той беше служил в една пионерна дружина и нестина беше взял участие в постройката на Тъй-онашки възпяната линия.
zhetvariat_01_yovkov_0032|Чумакът хареса песнята на Ковача. Бог знае дали той разбра нещо, пък и нямаше какво да разбира. Но тъй пламенни бяха ръкомаханията на Ковача, такъв огън имаше в очите му, два въглина на черното му лице, че коравата душа на овчаря се раздвижи и трепна. Той стовари у мрука си на масата и се провик на стой оглошителен вик, с който събираше кучетата си в къра.
zhetvariat_01_yovkov_0033|Не удържимо веселия плам нав очите му.
zhetvariat_01_yovkov_0034|После, възгордян, че поне сега неговите желания се слушат и изпълняват, той пърна тачката през устата, накара го да млъкне и да престане да вие като вълк и задърпа монката.
zhetvariat_01_yovkov_0035|Монка, ставай! Зарева той! Ставай! Трънкалоята искам! Хайде! Трънкалоята!
zhetvariat_01_yovkov_0036|Транкалоята, кой знае от где идеше това име, беше един румънски танец. Тукашните селини бяха повечето бабадашки българи, пришълци от Камбалтите и язерата на Дунава, където бяха живели сред нея различни народности – казаци, немци, румъни. От тях те бяха заели много игри и песни. Транкалоята беше особено жива и весела игра. Чомакът имаше голяма слабост към нея, а пакимонката играеше хубаво.
zhetvariat_01_yovkov_0037|Груздан при късна разговара си с учителя и се обърна.
zhetvariat_01_yovkov_0038|Погледът само, който той хвърли върху компанията, накара всички да замлъкнат.
zhetvariat_01_yovkov_0039|Те се спотеиха някак виновно, гледаха го и чакаха да видят какво ще каже.
zhetvariat_01_yovkov_0040|Мирно, извика Груздан. Чумак, какво си полудял? Да играе! Транка лоя те искам, пък какво? Ставай, демонка! Потрай! Сопна му се още по-твърдо, Груздан. Ще играе. Мировай сега, чули?
zhetvariat_01_yovkov_0041|Шумака то ще дърпаше монката, но пред строгия поглед на груздана тежките му лапи се отпуснаха. Той поклати глава и се усмихна.
zhetvariat_01_yovkov_0042|Гроздан се обърна и продължи отново разговора си. Той беше 30-35 годишен, възстанък и висок, с приятно моргаво лице, с черни мустачки и живи очи, които гледаха умно, уверено, дръско дори.
zhetvariat_01_yovkov_0043|Облечен беше по-бедно, но всичко у него изглеждаше напето и хубаво, и черният му кълпак изшилен навърха и килнат малко назад, за да се вижда перчемът му, и късата аба, и широките черни потури разкопчани долу с разпуснати на две страни пъчи.
zhetvariat_01_yovkov_0044|На едното мухо имаше малка сребърна обица.
zhetvariat_01_yovkov_0045|Нещо кораво и властно имаше в цялата му фигура. Явно беше, че от той от човек голямата физическа сила е съединена и с голяма смелост, че пътят от думите до делата за него е много къс. Все пак личеше от него една разумна и спокойна воля, която умееше да го въздържа и обоздава.
zhetvariat_01_yovkov_0046|Аз нямам полза от дружеството им, говореше гроздан на учителя. И няма да се запиша за член. Гдето са чорбаджиите, там мене ме няма. Вълчан ли ще оправи селото? Тежко и горко. Тори вълка да ти пази стадото. И виж какво нещо измислили. Който се запишал за член не трябвало да ходи по кръчмите и не трябвало да пие. Айде де, като че те не пият. Ама аз знам, той е само против мене.
zhetvariat_01_yovkov_0047|Той помълча и някак по-спокойно додаде. Да, Скъля, ти разбираш от те сработи. Кажи ми какво ще бъде той дружество? Ще има ли Барем някаква полза от него?
zhetvariat_01_yovkov_0048|Радулов не отговори веднага, се позамисли. Тънка румянина премина по бледното му лице, и пак тъй бързо се изгуби.
zhetvariat_01_yovkov_0049|Изведнъж той дигна очеи развълнувано за говори.
zhetvariat_01_yovkov_0050|Ще свлекат и ризата от гърба му. Не, но той ще трябва да заложи душата си и да им стане роб. Най-после, нека кажем, че ще му дадат. Какво ще направи той с един заем от няколко стотин лева? За кое попреди?
zhetvariat_01_yovkov_0051|Не, с това не се помага.
zhetvariat_01_yovkov_0052|Аз тъй си и мислих да скали.
zhetvariat_01_yovkov_0053|Бедните хора пропадат и ще пропадат. Дребен собственик ли си, имаш ли малко капитал и малко земя, рано-късно ще ги загубиш. Това е закон и никакви дружества, никаква човешка сила не може да го измени. Лека-полека капиталът и земята ще се събират във все по-малко ръце и тогаз... Тогаз? Вашето царство ли ще додедаска ли? Прекъсна го Груздан като го гледаше весело.
zhetvariat_01_yovkov_0054|Виждаш ли ги? Казар Адулов и посочи наоколо си.
zhetvariat_01_yovkov_0055|Те са озрели вече за него. Истина, истина ти казвам, тяхно ще бъде царството Божие на земята.
zhetvariat_01_yovkov_0056|и двамата се засмяха.
zhetvariat_01_yovkov_0057|След това пак запреказваха, но все по-низко. Говореше най-вече гроздан, от време на време споменаваше името на Вълчана и тук аз гласът му трепваше, изпълнен сият и омраза.
zhetvariat_01_yovkov_0058|Гроздани Вълчан не бяха добре. Между тях отдавна се набираше и се готвеше да избухне една от ония люти и неизкореними връжди в салата, които опълчват едини срещу други цели родове, предават се от бащи на деца, разпалват се и се ужесточават все повече, тровят кръвта на цели поколения.
zhetvariat_01_yovkov_0059|Да разкаже дългата история на тая от колешна война, Гроздан нито можеше, нито имаше време. Все пак той успя да каже много нещо на учителя и като всеки човек, който мисли, че е искрен в изповедта си и силен в правото си, той най-после се успокои и развесели.
zhetvariat_01_yovkov_0060|Се такива разговори, повече или по-малко разпалени и страстни, бяха залисали по това време всички в кръчката.
