staroplaninskilegendi_01_yovkov_0000|Старопланински легенди от Юрдан Йовков
staroplaninskilegendi_01_yovkov_0001|Записано за LibriVox. Всички записи на LibriVox са обществено достояние. За повече информация посетете LibriVox.org
staroplaninskilegendi_01_yovkov_0002|Шибил.
staroplaninskilegendi_01_yovkov_0003|Радка на порти стоеше, отдолу иде Мустафа.
staroplaninskilegendi_01_yovkov_0004|Народно песен.
staroplaninskilegendi_01_yovkov_0005|Шибил, страшният хайдутин, когато заптията и кърсердари търсиха под дърво и камък, слизаше от планината и отиваше да се предаде. Утре тая вест щеше да се разчуе навсякъде, кой щеше да я повярва. Шибил малко се грижеше за това. Той бързаше и мислеше за друго.
staroplaninskilegendi_01_yovkov_0006|Мислеше си как преди месец-два, от високите върхове на сините камъни, където между гнездата на орлите беше и неговото хайдошко гнездо, той видя, че долу по пътя идат жени.
staroplaninskilegendi_01_yovkov_0007|Не беше в хайдушките правила да се задяват жени, нито имаше място за жени в сърцето на хайдутина. Но Шибил беше погазил много закони и не знаеше вече, нито искаше да знае кое е грях и кое не.
staroplaninskilegendi_01_yovkov_0008|Жени тук сред джендемите, помисли се той. И това е добра плячка.
staroplaninskilegendi_01_yovkov_0009|и той стана незагрежен ни наймалка на къде го влече любопитството му.
staroplaninskilegendi_01_yovkov_0010|Хайдутите тръгнаха след него, засмяха се и зъбите им лъснаха като нагладни вълци.
staroplaninskilegendi_01_yovkov_0011|Слязоха долу, минаха през гората, която още не беше се развила и излязоха на пътя сред джендемите. Това място беше най-страшно. Тук пътят се вглъбяваше навътре вдола, извиваше се по едната и по другата страна, чертаяше две дъги, два обрачена капан, в който много хора бяха намерили смъртта си.
staroplaninskilegendi_01_yovkov_0012|И както правяха и друг път, хайдутите препречеха пътя, изправиха се там, страшни, брадясали, наметнети с черни арнаутски гугли, отрупани с уръжие.
staroplaninskilegendi_01_yovkov_0013|Жените се показаха на завоя и щом ги видяха, спряха се като втрещени.
staroplaninskilegendi_01_yovkov_0014|После се втурнаха, едни надолу, други нагоре и започнаха да бягат, но краката им се подкусяваха и те само лъкотушаха на едно място като ударени птици.
staroplaninskilegendi_01_yovkov_0015|Премалели от страх, те паднаха на земята и заплакаха.
staroplaninskilegendi_01_yovkov_0016|Хайдутите не се трогнаха, те дори не ги погледнаха.
staroplaninskilegendi_01_yovkov_0017|Тяхното внимание беше друга де. Една жена стоеше още на пътя, млада, хубава. И как беше пременена! Синя Джанфезена Рокля е леча от Аленът лаз, пъстра божи гробска престилка, сребърни пафти, а на шията и тежки нанизи, ред Едриълтъни, ред Рубета и Махмудии. Къде беше тръгнала та и на Труфена? На сватба ли? Лут ли беше той баща, който беше я пуснал сама и сега?
staroplaninskilegendi_01_yovkov_0018|Шибил пристъпи по-напред. Умата го гледаше спокойно и право в очите. Една отвесна черта беше се спряла между гайтанините и вежди. Алините й усни потръпваха.
staroplaninskilegendi_01_yovkov_0019|Брей, извикът е крехкият ти глас странно прозвуча сред плача на жените. Да си вървите по работата, че знаете ли се? Не ви ли е срам? Какво искате от едни жени?
staroplaninskilegendi_01_yovkov_0020|При тя домиха идутите, които не снимаха очи от алтъните на шията ѝ, се спуснаха към нея и отдалеч протегнаха жилистите си ръце.
staroplaninskilegendi_01_yovkov_0021|Ще би е лмахна с ръка и ги спря. После се обърна и справи се на целия си ръст и от високо измери с очи момата. Какво бяло лице! И тънкав кръста, а полите й широки като на кукла. И какъв кораж!
staroplaninskilegendi_01_yovkov_0022|Очите му заблещаха весело надолу насмях.
staroplaninskilegendi_01_yovkov_0023|Но по-рано от него момата беше си размяла с глас. Лицето й светна, стана по-хубава и сега можеше да си види, че очите й са сини и зъбите бели. Шибил я гледаше очуден. Какъв ще е той дявол?
staroplaninskilegendi_01_yovkov_0024|Как стана всичко, но това, което отпосле се случи, ще бил сам не можа да разбере.
staroplaninskilegendi_01_yovkov_0025|Жените се съвзеха и макар още плахи като кушути надойдоха към него.
staroplaninskilegendi_01_yovkov_0026|Разведри се сякаш планината, долу се зачуда шуми реката, в гората се обади птиче. Сам Шибил беше седнал на един камък, усмихваше се, слушаше братвежите на момичето.
staroplaninskilegendi_01_yovkov_0027|Какво приказваш е то?
staroplaninskilegendi_01_yovkov_0028|Един Господ знае думи, които не значат нищо, думи, които се забравят. Но как светеха очите й и как беше приятно да я гледа човек.
staroplaninskilegendi_01_yovkov_0029|Настрана, окрутени като по някое чудо, хайдутите бяха насядали и спокойно пушеха.
staroplaninskilegendi_01_yovkov_0030|— Та ти си велико кехайово, момиче! — говореше Шибил. — Рада се казваш. Че как те я пуснал баща ти, и пре мене на салтани с тия върви и махмудии, аз ще ги взема. — Бре, ще ги вземеш. Я да ми дадеш още, че ми са малко. Явиш? — извика тя като показваше с ръка. — Явиш как ти се скъсал ръкава. Чакай, аз ще го зашия.
staroplaninskilegendi_01_yovkov_0031|Ше бил поглед на ръката си сложена върху тапанджата на пушката. Червеното съкно наистина беше се скъсало. И преди той да разбере шегува ли се тя или не, видя я току пред себе си, виждаше маха на бялото й лице, червените й усни и когато го погледнеше, очите й го заливаха с мека и сладка светлина.
staroplaninskilegendi_01_yovkov_0032|Осмихваше се и го гледаше диволито. Прибираше скъсения ръка, във устата си държаше игла и конец.
staroplaninskilegendi_01_yovkov_0033|Не мърдай, сгълча го тя. Започвам. И тури нещо в устата си да не ти зашие и ума, барем да го имаш.
staroplaninskilegendi_01_yovkov_0034|Засмяха се всички. Слушай, продължаваше Рада, да се ожениш, че да има кой да те кърпи, да не ходиш такъв окъсан като... Като какъв? Като циганин.
staroplaninskilegendi_01_yovkov_0035|Шибил се понамръщи. Жените плахо се спогледаха. – Да се оженя, каза Шибил. – Ама момите не ме искат. – Ба, ще те искат, такъв ерген. – Е, хайде, вземи ме ти. – Кой? Аз ли? През дол бяга, цървул стяга. – Што е то? – Хайдутин. – Не, не ми трябва. – Хайдутин не искам.
staroplaninskilegendi_01_yovkov_0036|Шибил пак се намръщи. Рада срещна у молителните очи на жените и бързо рече да се поправи.
staroplaninskilegendi_01_yovkov_0037|Може, може, земвам те. Трябва само да питаш велико кихая.
staroplaninskilegendi_01_yovkov_0038|и като помълча малко тя прибави. И кърсер дари на Мурат Бей.
staroplaninskilegendi_01_yovkov_0039|Готово! Виж ли как го заших?
staroplaninskilegendi_01_yovkov_0040|Каза те и по снаръкава, да ме помниш, да го носиш поживо, поздраво.
staroplaninskilegendi_01_yovkov_0041|Шибил ий погледна и се засмя. Те попреказваха още. После жените си тръгнаха и Шибил ги придружи чак до там, дето се свършваше гората и започваше полето.
staroplaninskilegendi_01_yovkov_0042|Когато се случи това беше пролет. Туктаме само издолищата беше се раззеленила прясна букова шума, а по другите дървета имаше само пъпки.
staroplaninskilegendi_01_yovkov_0043|Шибил се връщаше в планината и още се усмихваше. След него вървяхаха идутите, гледаха в земята и мълчаха. Черен гарван пролетя над тях изъграка. Лош знак.
staroplaninskilegendi_01_yovkov_0044|Ши бил незабелязан, но хайдутите се събраха накуп и си зашушнаха нещо. Жена беше се изпречила на пътя им, обава жена, а всичко това не предвещаваше нищо добро.
staroplaninskilegendi_01_yovkov_0045|Мина се още някое време, стопли се повече. Цъфнаха дивите сливи, разлистиха се крушите и един ден, сред топлия въздух и сред слънцето, закука куковица.
staroplaninskilegendi_01_yovkov_0046|Както беше обичай, Шибил започна да брои, за да види колко години ще живее, но после се замисля за възрастта си и му се стори, че е вече стар.
staroplaninskilegendi_01_yovkov_0047|Вспомни си радостю смихно.
