08_vazov_000|Одата „Раковски“ от цикъла „Епопея на забравените“ на Иван Вазов.
08_vazov_001|Този запис е за LibriVox и е обществено достояние.
08_vazov_002|Раковски
08_vazov_003|Мечтател безумен, образ невъзможен, на тъмна епоха син бодър, тревожен,
08_vazov_004|Раковски, ти дремеш под бурена гъст,
08_vazov_005|из който поглежда полусчупен кръст.
08_vazov_006|Син, дреми, почивай, ти, който не спеше,
08_vazov_007|ти, кой беше вихър,
08_vazov_008|котел, що кипеше над някакъв злобен, стихиен огън.
08_vazov_009|Спи!
08_vazov_010|Кой ще разбужда вечния ти сън?
08_vazov_011|Природата веща беше се сбъркала:
08_vazov_012|тя от теб да стори гений бе искала,
08_vazov_013|затова в глава ти като в една пещ
08_vazov_014|фърли толкоз пламък и възторг горещ,
08_vazov_015|но друг таен демон се намеси тамо: ти стана създанье от крайности само,
08_vazov_016|елемент от страсти, от злъчка и мощ,
08_vazov_017|душа пълна с буря, с блясък и със нощ.
08_vazov_018|Твойта вражда беше вражда сатанинска,
08_vazov_019|твойта любов беше любов исполинска,
08_vazov_020|любов без съмненье, без свяст, без предел,
08_vazov_021|що кат кръст огромен ти беше понел.
08_vazov_022|Твоят символ беше: смърт или свобода,
08_vazov_023|сънят ти — Балкана, кумирът — народа,
08_vazov_024|народа с безчестье и с кърви облян.
08_vazov_025|Твоят живот целий беше един блян!
08_vazov_026|Ти гледаше бледен в бъдещето скрито.
08_vazov_027|Ти се вреше дръзко в миналото срито
08_vazov_028|и оттам влечеше кат победен знак векове от слава, затулени в мрак,
08_vazov_029|за царе, юнаци вълшебни преданья,
08_vazov_030|обраснали с плесен старинни сказанья;
08_vazov_031|твоят орлов поглед виждаше навред от българска слава останки безчет
08_vazov_032|и в тъмна ни древност, бездънна провала, ти вкарваше смело вселената цяла.
08_vazov_033|Нищо невъзможно за теб не оста.
08_vazov_034|ти даваше образ на всяка мечта.
08_vazov_035|На неми загадки, сфинкси безответни предлагаше твойте въпроси заветни;
08_vazov_036|исторйята, мракът,
08_vazov_037|времето, редът
08_vazov_038|не значеха много в големий ти път;
08_vazov_039|ти иска да бутнеш, о, дух безпокоен, нещастен мечтател, апостол и воин,
08_vazov_040|в един час делото на пет векове.
08_vazov_041|Чухме ний твойте горди викове,
08_vazov_042|когато при Сава и при Дъмбовица викна пръв „Свобода! Сяйна е зорница!“
08_vazov_043|И ту с перо остро, ту с гореща реч надеждите сейше наблиз и далеч.
08_vazov_044|Един само буден сред толкова спящи,
08_vazov_045|ти един за всички като демон бдящи работи, бори се, стреска, вълнува,
08_vazov_046|тук мъдрец замислен, там луда глава,
08_vazov_047|мрачен узник в Стамбул, генерал в Балкана,
08_vazov_048|поет и разбойник под съща премяна,
08_vazov_049|мисъл и желязо, лира и тръба:
08_vazov_050|всичко ти бе вкупом за една борба.
08_vazov_051|Исторйята има да се позамисли във кой лик безсмъртен тебе да причисли.
08_vazov_052|Ти умря.
08_vazov_053|И пътят към гроба ти ням обрасъл е вече със бурен голям,
08_vazov_054|и прахът ти гние без сълзи набожни…
08_vazov_055|Не зарасна само, герою тревожни,
08_vazov_056|проломът широкий, който ти тогаз
08_vazov_057|в бъдещето тъмно отвори за нас!
08_vazov_058|1882
08_vazov_059|Пловдив
08_vazov_060|Край на одата „Раковски“.
