003_vazov_000|Баланиади от Христо Смирненски. Прочетено на български език за LibriVox.org от Георги Стойчев.
003_vazov_001|Гърбосложен на кревата, аз жадувам твоя стан
003_vazov_002|и в унесница благата от мечти съм пак пиян.
003_vazov_003|Себеспомням скъпи срещи на Борисов дървосад,
003_vazov_004|ръкостисници горещи, отлетели безвъзврат.
003_vazov_005|Пеперудени одежди себеспомням си с тъга;
003_vazov_006|ластовичокрилни вежди пак тревожат ме сега.
003_vazov_007|Себеспомням лунни нощи, себеспомням всеки ден.
003_vazov_008|Устодопреници още нощем мир не дават мен.
003_vazov_009|Сърцесладките минути кат зърна на нижел скъп,
003_vazov_010|сетне ядовете люти, сетне душетровна скръб…
003_vazov_011|Гърбосложен на кревата, аз жадувам твоя стан
003_vazov_012|и в унесница благата стих въртя à la Balan.
003_vazov_013|Крайна стихотворението.
003_vazov_014|Този запис е обществено достояние.
